,Symbol,Open,High,Low,Close,PrevClose,DateTime,Date,Time
242,AAPL,252.739,252.89,252.725,252.83,252.74,2020-04-06 09:14:00,2020-04-06,09:14:00
243,AAPL,252.82,253.0,252.72,252.9922,252.83,2020-04-06 09:15:00,2020-04-06,09:15:00
244,AAPL,253.0,253.0,252.7804,252.79,252.9922,2020-04-06 09:15:00,2020-04-06,09:15:00
245,AAPL,252.78,253.01,252.74,252.9973,252.79,2020-04-06 09:15:00,2020-04-06,09:15:00
246,AAPL,253.0,253.15,252.99,253.105,252.9973,2020-04-06 09:16:00,2020-04-06,09:16:00
247,AAPL,253.1199,253.185,252.98,253.1719,253.105,2020-04-06 09:16:00,2020-04-06,09:16:00
248,AAPL,253.18,253.2041,253.1,253.18,253.1719,2020-04-06 09:16:00,2020-04-06,09:16:00
249,AAPL,253.18,253.18,253.02,253.03,253.18,2020-04-06 09:17:00,2020-04-06,09:17:00
250,AAPL,253.03,253.06,252.99,252.99,253.03,2020-04-06 09:17:00,2020-04-06,09:17:00
251,AAPL,252.99,253.1,252.95,253.04,252.99,2020-04-06 09:18:00,2020-04-06,09:18:00
252,AAPL,253.04,253.05,252.95,253.0,253.04,2020-04-06 09:18:00,2020-04-06,09:18:00
253,AAPL,253.0,253.09,252.88,253.06,253.0,2020-04-06 09:18:00,2020-04-06,09:18:00
254,AAPL,253.06,253.11,252.95,252.99,253.06,2020-04-06 09:18:00,2020-04-06,09:18:00
255,AAPL,252.99,253.14,252.99,253.1,252.99,2020-04-06 09:19:00,2020-04-06,09:19:00
256,AAPL,253.0994,253.21,253.0994,253.13,253.1,2020-04-06 09:19:00,2020-04-06,09:19:00
257,AAPL,253.11,253.11,252.98,253.05,253.13,2020-04-06 09:19:00,2020-04-06,09:19:00
